131,104,46,33,19,46,50,50,50,53,43,18,33,52,17,37,54,17,1
140,109,46,41,24,45,62,62,50,59,42,23,41,52,21,46,52,21,1
116,81,34,25,16,34,39,39,37,43,39,14,25,39,14,28,40,14,1
106,79,37,19,12,38,31,31,37,53,35,10,19,41,12,24,43,11,1
112,73,30,27,14,29,40,40,32,36,30,14,27,34,13,30,34,13,1
127,86,33,32,22,32,50,50,35,43,40,21,32,37,21,35,35,21,1
131,103,46,32,19,46,48,48,50,59,38,21,32,52,18,35,54,18,1
138,103,41,42,23,40,62,62,45,48,45,24,42,46,22,46,46,22,1
116,81,34,25,16,34,39,39,37,38,32,15,25,39,15,28,39,15,1
106,79,37,19,12,38,31,31,37,37,34,12,18,41,12,24,43,11,1
111,74,31,25,13,31,37,37,34,38,29,14,25,35,13,28,36,13,1
127,87,34,32,21,33,50,50,36,41,42,20,32,39,20,35,37,20,1
133,102,44,33,21,43,48,48,48,55,33,19,32,50,20,35,50,20,1
137,101,39,43,23,38,62,62,43,48,45,22,42,44,21,47,43,21,1
127,88,35,32,21,34,51,51,37,40,42,20,32,39,19,36,38,19,1
133,101,43,32,22,43,48,48,47,54,37,24,32,49,20,34,50,20,1
135,100,40,37,22,39,54,54,44,53,36,22,37,46,21,39,46,21,1
127,89,36,30,21,36,48,48,39,41,37,20,30,41,19,33,40,19,1
134,102,43,33,23,43,50,50,47,51,39,27,33,49,21,35,49,21,1
131,96,39,34,21,38,48,48,43,46,34,22,33,44,20,35,44,20,1
127,94,40,29,20,40,47,47,42,49,41,19,29,45,18,32,45,18,1
135,102,44,33,23,43,51,51,47,52,37,19,33,49,21,36,49,21,1
130,93,37,34,21,36,46,46,41,44,35,19,33,42,20,34,41,20,1
136,102,42,37,23,41,58,58,45,46,41,22,37,48,21,41,47,21,1
139,111,49,38,23,48,57,57,52,62,43,24,37,55,21,41,56,21,1
131,95,38,35,21,37,47,47,42,44,35,24,34,43,21,35,42,21,1
142,105,42,37,30,40,57,57,45,52,44,30,37,47,28,37,44,28,1
142,116,53,39,24,52,57,57,57,69,47,26,38,59,23,41,60,23,1
135,97,38,38,23,37,54,54,42,49,40,25,37,43,23,39,41,23,1
136,96,38,30,31,37,44,44,40,50,38,32,28,43,32,22,38,32,1
137,112,52,32,22,52,49,49,57,58,38,23,32,59,21,34,60,21,1
135,97,37,39,24,36,56,56,41,45,49,25,38,42,22,41,41,22,1
193,180,110,85,60,109,161,161,109,105,168,64,83,125,57,130,110,54,2
211,200,136,120,82,132,255,255,90,121,215,81,255,51,77,255,64,73,2
204,185,102,122,77,98,233,233,97,104,177,73,122,116,70,252,67,66,2
202,192,128,96,73,125,198,198,123,110,201,75,97,144,67,159,124,63,2
216,209,151,137,81,148,255,255,95,119,255,91,255,58,77,255,72,72,2
206,192,116,127,71,113,219,219,116,114,203,67,127,131,66,183,116,62,2
200,188,122,87,76,119,182,182,116,94,180,74,88,137,70,141,116,65,2
206,189,107,131,75,104,255,255,77,93,204,81,255,56,70,255,64,66,2
205,192,120,115,75,116,188,188,121,124,153,78,115,134,71,151,122,67,2
200,185,113,92,78,109,193,193,106,91,163,80,93,127,71,255,53,67,2
201,185,103,128,64,101,255,255,73,93,241,69,255,54,62,255,65,58,2
197,180,107,90,70,104,182,182,101,94,160,75,90,121,66,146,99,61,2
198,181,104,105,67,100,255,255,71,87,203,68,255,45,64,255,53,60,2
203,187,108,128,66,105,222,222,103,111,164,66,128,121,63,188,104,59,2
197,181,104,103,65,101,216,216,96,87,177,61,104,118,59,255,58,55,2
223,214,143,197,84,142,255,255,136,152,255,72,198,162,76,255,104,76,2
228,220,152,208,97,149,255,255,141,165,236,99,206,169,100,255,147,100,2
239,236,200,205,125,194,255,255,185,197,255,118,204,225,118,255,103,118,2
231,219,139,225,112,138,255,255,133,145,255,107,226,157,101,255,102,101,2
229,221,149,225,97,148,255,255,138,173,255,114,223,166,101,255,142,102,2
239,237,202,213,120,196,255,255,186,176,255,119,214,228,111,255,111,111,2
233,223,151,218,119,148,255,255,123,141,255,125,255,93,109,255,97,103,2
232,224,153,244,98,154,255,255,147,179,255,102,243,170,101,255,151,101,2
236,234,188,235,103,185,255,255,175,182,255,97,237,213,93,255,126,93,2
231,221,141,242,104,143,255,255,127,132,255,91,255,103,96,255,94,96,2
235,228,149,255,106,154,255,255,154,187,255,108,255,167,104,255,151,105,2
235,232,183,233,102,180,255,255,171,179,255,92,234,206,93,255,134,87,2
232,223,143,252,102,146,255,255,128,131,255,90,255,107,94,255,106,94,2
233,227,154,255,97,157,255,255,148,165,255,111,255,174,91,255,129,91,2
237,230,176,214,123,170,255,255,158,151,255,110,216,198,114,255,112,107,2
235,228,155,255,107,157,255,255,132,163,255,112,255,110,100,255,108,100,2
220,209,131,190,82,130,255,255,124,118,222,75,192,148,75,255,105,70,2
238,231,180,200,138,173,255,255,159,155,255,151,201,201,133,255,104,124,2
236,230,169,240,112,167,255,255,133,130,255,108,255,101,106,255,106,100,2
227,211,116,219,116,118,255,255,117,137,225,115,220,130,108,255,92,108,2
238,230,175,205,135,169,255,255,161,197,255,144,206,196,128,255,152,120,2
236,228,166,224,118,162,255,255,129,138,255,111,255,96,106,255,103,100,2
231,216,125,233,124,128,255,255,118,134,255,119,234,140,117,255,91,117,2
240,232,166,247,134,163,255,255,158,176,255,120,249,187,124,255,127,116,2
240,233,178,240,126,174,255,255,136,152,255,127,255,102,115,255,120,108,2
228,221,157,212,91,155,255,255,133,151,255,95,214,175,90,255,114,85,2
239,231,163,253,125,162,255,255,150,160,255,122,253,183,119,255,114,119,2
241,235,183,241,127,178,255,255,136,159,255,123,255,103,119,255,123,112,2
226,221,158,208,86,156,255,255,137,152,255,78,210,176,86,255,119,80,2
236,228,160,244,114,159,255,255,147,174,255,120,244,179,111,255,119,111,2
244,240,196,253,131,191,255,255,173,194,255,139,255,219,124,255,135,117,2
226,219,152,213,84,151,255,255,137,160,220,91,215,169,83,255,146,78,2
236,230,168,243,112,166,255,255,148,186,255,121,244,187,112,255,121,112,2
243,237,188,242,136,183,255,255,176,198,255,140,243,211,127,255,170,120,2
227,220,156,200,93,153,255,255,151,162,255,80,201,176,87,255,158,88,2
237,233,174,255,105,173,255,255,151,164,255,116,255,195,102,255,125,102,2
241,232,176,225,141,169,255,255,168,198,255,153,226,196,134,255,163,134,2
